epoch,acc,auc,learning_rate,loss,precision,recall,val_acc,val_auc,val_loss,val_precision,val_recall
0,0.528181791305542,0.6039147973060608,0.00019999999494757503,2.0138955116271973,0.5156302452087402,0.9296969771385193,0.5773809552192688,0.6547579765319824,0.3100641071796417,0.6741071343421936,0.2996031641960144
1,0.5463636517524719,0.7022620439529419,0.00019999999494757503,0.9918432831764221,0.524781346321106,0.9818181991577148,0.66567462682724,0.7593182921409607,0.28706908226013184,0.606914222240448,0.9404761791229248
2,0.5851514935493469,0.7703487873077393,0.00019999999494757503,0.7968184947967529,0.5470371842384338,0.9903030395507812,0.6170634627342224,0.8330380320549011,0.4648657739162445,0.5670454502105713,0.9900793433189392
3,0.5942424535751343,0.789677619934082,0.00019999999494757503,0.7431775331497192,0.5525160431861877,0.9915151596069336,0.567460298538208,0.7934421300888062,0.9039027094841003,0.5362473130226135,0.9980158805847168
4,0.6557575464248657,0.8659205436706543,9.999999747378752e-05,0.5728171467781067,0.5929811596870422,0.9933333396911621,0.5982142686843872,0.8190605640411377,0.7949606776237488,0.5546961426734924,0.9960317611694336
5,0.668181836605072,0.8869988918304443,9.999999747378752e-05,0.5312499403953552,0.6021347045898438,0.9915151596069336,0.653769850730896,0.8584479093551636,0.3470243513584137,0.5939394235610962,0.9722222089767456
6,0.7239394187927246,0.9253464341163635,4.999999873689376e-05,0.40741288661956787,0.6450726389884949,0.9957575798034668,0.653769850730896,0.8617253303527832,0.3752250671386719,0.5943970680236816,0.9682539701461792
7,0.7566666603088379,0.9372345209121704,4.999999873689376e-05,0.37490642070770264,0.6736367344856262,0.9957575798034668,0.7053571343421936,0.8662643432617188,0.2729368805885315,0.6356487274169922,0.9623016119003296
8,0.7451515197753906,0.9458575248718262,4.999999873689376e-05,0.36427032947540283,0.663566529750824,0.9945454597473145,0.6696428656578064,0.869890034198761,0.40580302476882935,0.6054254174232483,0.9742063283920288
9,0.7866666913032532,0.962543249130249,4.999999873689376e-05,0.2987244427204132,0.7023096680641174,0.9951515197753906,0.6746031641960144,0.8669296503067017,0.5059136152267456,0.6086419820785522,0.97817462682724
10,0.8193939328193665,0.9726142287254333,2.499999936844688e-05,0.23426935076713562,0.7352678775787354,0.9981818199157715,0.7400793433189392,0.8670398592948914,0.33417654037475586,0.6733524203300476,0.932539701461792
11,0.8336363434791565,0.9777582287788391,2.499999936844688e-05,0.2749805152416229,0.7521759271621704,0.9951515197753906,0.7371031641960144,0.8545111417770386,0.29468074440956116,0.6739447116851807,0.9186508059501648
12,0.8436363339424133,0.9851451516151428,1.249999968422344e-05,0.17928308248519897,0.7629870176315308,0.9969696998596191,0.7271825671195984,0.868272066116333,0.3549875319004059,0.6614950895309448,0.9305555820465088
13,0.8651515245437622,0.9875718951225281,1.249999968422344e-05,0.16699917614459991,0.7884154915809631,0.9981818199157715,0.7460317611694336,0.8640695810317993,0.3210163414478302,0.6834319233894348,0.9166666865348816
