epoch,acc,auc,learning_rate,loss,precision,recall,val_acc,val_auc,val_loss,val_precision,val_recall
0,0.5283422470092773,0.5940622687339783,0.00019999999494757503,1.1909526586532593,0.5153920650482178,0.9490196108818054,0.5,0.683343768119812,1.022029161453247,0.5,1.0
1,0.5222816467285156,0.6575104594230652,0.00019999999494757503,0.8149709105491638,0.5116452574729919,0.9789661169052124,0.5005291104316711,0.7493575215339661,0.48737332224845886,0.5002647042274475,1.0
2,0.5256684422492981,0.6966699361801147,0.00019999999494757503,0.7051720023155212,0.5133729577064514,0.9853832721710205,0.5015873312950134,0.7346082329750061,0.7057559490203857,0.5007948875427246,1.0
3,0.5324420928955078,0.7294939160346985,0.00019999999494757503,0.6361388564109802,0.5169523358345032,0.9893048405647278,0.5,0.7524632215499878,0.4908088743686676,0.5,1.0
4,0.5673796534538269,0.7801834344863892,9.999999747378752e-05,0.5590634942054749,0.5363601446151733,0.9939393997192383,0.5111111402511597,0.7510181665420532,0.5267133712768555,0.505623996257782,0.9989417791366577
5,0.6046345829963684,0.8316873908042908,9.999999747378752e-05,0.4892430305480957,0.5589712858200073,0.9918003678321838,0.5185185074806213,0.7228801250457764,0.5271126627922058,0.5095368027687073,0.9894179701805115
6,0.6693404912948608,0.882948100566864,4.999999873689376e-05,0.40195420384407043,0.6025918126106262,0.9946523904800415,0.5989418029785156,0.745793342590332,0.4048944115638733,0.557894766330719,0.9534391760826111
7,0.7172905802726746,0.9164367318153381,4.999999873689376e-05,0.3550170063972473,0.6401471495628357,0.9925133585929871,0.5693121552467346,0.7503938674926758,0.4715338349342346,0.5386430621147156,0.9661375880241394
8,0.7447415590286255,0.9311229586601257,4.999999873689376e-05,0.3240354061126709,0.6634134650230408,0.9935829043388367,0.6777777671813965,0.7297707200050354,0.3236199915409088,0.6518987417221069,0.7629629373550415
