epoch,acc,auc,learning_rate,loss,precision,recall,val_acc,val_auc,val_loss,val_precision,val_recall
0,0.5023634433746338,0.5346255302429199,0.00019999999494757503,1.0682296752929688,0.5012711882591248,0.9319853186607361,0.5,0.5755949020385742,0.6340973377227783,0.5,1.0
1,0.5051208138465881,0.580094575881958,0.00019999999494757503,0.743743896484375,0.5026376247406006,0.9758403301239014,0.5,0.6376734375953674,0.5010872483253479,0.5,1.0
2,0.5076155662536621,0.6175537705421448,0.00019999999494757503,0.6701666712760925,0.5038978457450867,0.9845063090324402,0.5,0.7052620649337769,0.3393669128417969,0.5,1.0
3,0.5086659789085388,0.6633590459823608,0.00019999999494757503,0.6325952410697937,0.5044390559196472,0.9847689270973206,0.5003858208656311,0.6938207745552063,0.36330726742744446,0.5001929998397827,1.0
4,0.5185136795043945,0.709585428237915,0.00019999999494757503,0.5800000429153442,0.5095567107200623,0.9871323704719543,0.5003858208656311,0.6593265533447266,0.8367452621459961,0.5001929998397827,1.0
5,0.5514705777168274,0.7850176095962524,9.999999747378752e-05,0.5097537040710449,0.527466356754303,0.9884454011917114,0.5007715821266174,0.6876676082611084,0.6100388765335083,0.500386118888855,1.0
6,0.5881040096282959,0.8168666958808899,9.999999747378752e-05,0.4780750572681427,0.5489709377288818,0.9876575469970703,0.5428240895271301,0.7102909684181213,0.36397936940193176,0.5231926441192627,0.9660493731498718
7,0.666885495185852,0.8945954442024231,4.999999873689376e-05,0.37979423999786377,0.6014365553855896,0.9894958138465881,0.5933641791343689,0.6906989812850952,0.32595667243003845,0.5614837408065796,0.852623462677002
8,0.7276785969734192,0.923901379108429,4.999999873689376e-05,0.32619884610176086,0.6499481201171875,0.986869752407074,0.6010802388191223,0.7079823613166809,0.4093557894229889,0.5666327476501465,0.8595678806304932
9,0.8000262379646301,0.9581167697906494,4.999999873689376e-05,0.24107690155506134,0.7170814871788025,0.9910714030265808,0.5779321193695068,0.6809625029563904,0.6546120643615723,0.5462878346443176,0.9197530746459961
10,0.8413865566253662,0.9761818647384644,2.499999936844688e-05,0.1860995888710022,0.7631579041481018,0.9900209903717041,0.5979938507080078,0.7019069194793701,0.47935232520103455,0.5663532018661499,0.8364197611808777
11,0.8940388560295105,0.9881097674369812,2.499999936844688e-05,0.13604360818862915,0.8282651305198669,0.9942227005958557,0.5960648059844971,0.6966726183891296,0.5868978500366211,0.5638788938522339,0.8479938507080078
