epoch,acc,auc,learning_rate,loss,precision,recall,val_acc,val_auc,val_loss,val_precision,val_recall
0,0.5964515209197998,0.7151346802711487,0.00019999999494757503,0.5311944484710693,0.5579847097396851,0.9281489849090576,0.623784601688385,0.8489416837692261,0.26397114992141724,0.5718939900398254,0.984667181968689
1,0.6424437165260315,0.8000364303588867,0.00019999999494757503,0.3815564811229706,0.5876296758651733,0.9552032351493835,0.5385190844535828,0.8600136041641235,0.2533635199069977,0.5201250314712524,0.9955123662948608
2,0.6562854051589966,0.8199137449264526,0.00019999999494757503,0.3495093286037445,0.5970919132232666,0.9611173868179321,0.6303290724754333,0.8576884865760803,0.2278517186641693,0.5762414932250977,0.9850411415100098
3,0.6723920702934265,0.8457416296005249,0.00019999999494757503,0.31667762994766235,0.6086439490318298,0.9657732248306274,0.5160807967185974,0.8492224812507629,0.34175172448158264,0.5081842541694641,0.998504102230072
4,0.6960487961769104,0.8682379126548767,0.00019999999494757503,0.28914880752563477,0.6263584494590759,0.9718132615089417,0.6566941142082214,0.8573328852653503,0.21411876380443573,0.5956184267997742,0.9760658144950867
5,0.7183213829994202,0.8874779939651489,0.00019999999494757503,0.2667795419692993,0.6440551280975342,0.9760916233062744,0.6522064208984375,0.863307774066925,0.20600202679634094,0.5915841460227966,0.983171284198761
6,0.7422927021980286,0.9049256443977356,0.00019999999494757503,0.24432624876499176,0.6644742488861084,0.9788599610328674,0.6869857907295227,0.8501424193382263,0.17553626000881195,0.6209482550621033,0.9599850177764893
7,0.7673965096473694,0.9214219450950623,0.00019999999494757503,0.221716970205307,0.68735671043396,0.9809991121292114,0.6873597502708435,0.8457040786743164,0.1983177214860916,0.6210144758224487,0.9614809155464172
8,0.7829369306564331,0.9317119121551514,0.00019999999494757503,0.20820720493793488,0.7028051018714905,0.980495810508728,0.7303664684295654,0.8417055010795593,0.16085472702980042,0.6682140827178955,0.9151084423065186
9,0.7969673871994019,0.9426165223121643,0.00019999999494757503,0.19404147565364838,0.7164740562438965,0.9828866124153137,0.7367240190505981,0.845780611038208,0.15118147432804108,0.6740924119949341,0.9166043400764465
10,0.8255316615104675,0.9564450979232788,0.00019999999494757503,0.16950157284736633,0.7471341490745544,0.9841449856758118,0.6331338882446289,0.8252481818199158,0.2481689155101776,0.5802162885665894,0.9629768133163452
