epoch,acc,auc,learning_rate,loss,precision,recall,val_acc,val_auc,val_loss,val_precision,val_recall
0,0.5229057669639587,0.6084890365600586,0.00019999999494757503,1.959882140159607,0.512499988079071,0.9391361474990845,0.5960333943367004,0.7381809949874878,0.35186767578125,0.8066666722297668,0.25260961055755615
1,0.5140706896781921,0.6342031955718994,0.00019999999494757503,1.179700255393982,0.5072512626647949,0.9842932224273682,0.5386221408843994,0.7656978964805603,0.41361263394355774,0.5203073620796204,0.9895615577697754
2,0.5248690843582153,0.6919978260993958,0.00019999999494757503,0.977360188961029,0.5129163861274719,0.9875654578208923,0.5041753649711609,0.8146995902061462,0.6737125515937805,0.50209641456604,1.0
3,0.5497382283210754,0.7822398543357849,9.999999747378752e-05,0.8149564266204834,0.5264808535575867,0.9888743162155151,0.5052192211151123,0.8219411373138428,0.7231897115707397,0.5026288032531738,0.9979122877120972
4,0.5670811533927917,0.8175334334373474,9.999999747378752e-05,0.740770697593689,0.536386251449585,0.9888743162155151,0.5448851585388184,0.834770143032074,0.6002418994903564,0.5235487222671509,0.9979122877120972
5,0.6155104637145996,0.8705289363861084,4.999999873689376e-05,0.610912024974823,0.5659813284873962,0.9908376932144165,0.5511482357978821,0.8569523096084595,0.5362977981567383,0.5271317958831787,0.9937369227409363
6,0.6351439952850342,0.896828293800354,4.999999873689376e-05,0.5343263149261475,0.5787867307662964,0.9928010702133179,0.6388309001922607,0.8537728786468506,0.3712618052959442,0.5824039578437805,0.9812108278274536
7,0.6678664684295654,0.9169434905052185,2.499999936844688e-05,0.47424978017807007,0.6015841364860535,0.9941099286079407,0.6795406937599182,0.863753616809845,0.3209211826324463,0.6134564876556396,0.9707724452018738
8,0.7189136147499084,0.941058337688446,2.499999936844688e-05,0.38546422123908997,0.6407235860824585,0.9967277646064758,0.68789142370224,0.8632829189300537,0.32674142718315125,0.6209677457809448,0.9645093679428101
9,0.7342932224273682,0.950977087020874,2.499999936844688e-05,0.3492315411567688,0.6537800431251526,0.996073305606842,0.6784968972206116,0.8625223636627197,0.38189154863357544,0.6120576858520508,0.9749478101730347
